method,cost_weight,stretch_opt_weight,stretch_avg_weight,length_weight,dist_thresh,adjusted_rand_index_mean,adjusted_rand_index_std,adjusted_rand_index_min,adjusted_rand_index_max,adjusted_mutual_info_mean,adjusted_mutual_info_std,adjusted_mutual_info_min,adjusted_mutual_info_max,homogeneity_mean,homogeneity_std,homogeneity_min,homogeneity_max,completeness_mean,completeness_std,completeness_min,completeness_max,v_measure_mean,v_measure_std,v_measure_min,v_measure_max,v_measure_perfect_count,pairwise_f1_mean,pairwise_f1_std,pairwise_f1_min,pairwise_f1_max,n_pieces_succeeded
ward,2.0,1.0,0.0,0.0,0.5,0.21416233766233767,0.30025348080812064,-0.0552,1.0,0.24262597402597405,0.291437232289066,-0.1127,1.0,0.9006662337662339,0.19161740872732289,0.1844,1.0,0.32959610389610394,0.29526637827674274,0.0,1.0,0.3984766233766233,0.2980709598667256,0.0,1.0,6,0.3698818181818181,0.31809113483250656,0.0,1.0,77
ward,2.0,0.3,1.0,0.0,0.5,0.26343506493506497,0.33715094263712153,-0.0552,1.0,0.2891831168831169,0.32929908933132634,-0.1408,1.0,0.900635064935065,0.20166213660942628,0.1844,1.0,0.3585948051948052,0.32271319496850487,0.0,1.0,0.4210675324675324,0.3208521917423338,0.0,1.0,9,0.41974285714285703,0.33791082371927944,0.0,1.0,77
ward,2.0,0.0,0.7,0.0,0.5,0.2641,0.342972283155632,-0.0606,1.0,0.29048701298701296,0.33523914214891454,-0.1408,1.0,0.9003675324675326,0.20216460596973523,0.1844,1.0,0.3583701298701299,0.3249790750766047,0.0,1.0,0.4218987012987013,0.3245185082643293,0.0,1.0,9,0.4199480519480519,0.33602247861202494,0.0,1.0,77
ward,3.0,0.0,1.0,0.0,0.5,0.2636701298701299,0.3429766127595046,-0.0606,1.0,0.290187012987013,0.3349794218725842,-0.1408,1.0,0.9003675324675326,0.20216460596973523,0.1844,1.0,0.3581428571428572,0.3249310330134894,0.0,1.0,0.42168961038961034,0.32441070073164796,0.0,1.0,9,0.4191922077922078,0.3362959379198021,0.0,1.0,77
ward,3.0,1.0,1.0,0.0,0.5,0.24118441558441558,0.32259051687132373,-0.0552,1.0,0.27063116883116883,0.3145103938817806,-0.1127,1.0,0.9001636363636364,0.19522696409270615,0.1844,1.0,0.34692467532467536,0.3135913360003828,0.0,1.0,0.41193506493506493,0.31263305895197824,0.0,1.0,8,0.3989584415584415,0.32701516639464406,0.0,1.0,77
ward,1.0,0.3,0.7,0.0,0.5,0.25861428571428574,0.3337021954534669,-0.0288,1.0,0.2851441558441558,0.325639593421175,-0.0846,1.0,0.8999584415584416,0.20409602167877683,0.1573,1.0,0.357748051948052,0.3207968951700601,0.0,1.0,0.4192844155844156,0.31993596399252666,0.0,1.0,9,0.4165701298701298,0.341384522912798,0.0,1.0,77
ward,0.3,0.3,0.3,0.0,0.5,0.22329610389610388,0.3125835790327513,-0.0288,1.0,0.24716103896103903,0.30476959581622554,-0.0846,1.0,0.8997064935064935,0.2042859260160229,0.1573,1.0,0.3378831168831169,0.3032776994137776,0.0,1.0,0.4026545454545455,0.30493016766903125,0.0,1.0,7,0.37611818181818174,0.33960881114082775,0.0,1.0,77
ward,1.0,1.0,1.0,0.0,0.5,0.22329610389610388,0.3125835790327513,-0.0288,1.0,0.24716103896103903,0.30476959581622554,-0.0846,1.0,0.8997064935064935,0.2042859260160229,0.1573,1.0,0.3378831168831169,0.3032776994137776,0.0,1.0,0.4026545454545455,0.30493016766903125,0.0,1.0,7,0.37611818181818174,0.33960881114082775,0.0,1.0,77
ward,1.0,0.7,1.0,0.0,0.5,0.22925064935064934,0.3118266404084319,-0.0288,1.0,0.25880519480519476,0.3051922182869087,-0.0846,1.0,0.8996532467532469,0.20441950410440235,0.1573,1.0,0.34220129870129873,0.3041421662167885,0.0,1.0,0.40706883116883114,0.3068831573665411,0.0,1.0,7,0.38781298701298694,0.33453071116783034,0.0,1.0,77
ward,3.0,0.7,0.0,0.0,0.5,0.23870129870129875,0.32372115325268513,-0.0606,1.0,0.2680298701298701,0.3163714552218703,-0.1408,1.0,0.8995571428571428,0.19565599112872578,0.1844,1.0,0.34546103896103897,0.3142279258613536,0.0,1.0,0.410648051948052,0.31326980886379036,0.0,1.0,8,0.39337532467532466,0.32267618530030934,0.0,1.0,77
